TOPIC,TOPIC,Popularity,Overall sentiment,Positive ratio,Average sentiment
#wednesdaywisdom,#wednesdaywisdom,14,0,0,0.23950000000000002
#BrookSpence,#BrookSpence,1,0,0,0.0
Television,Television,5,0,0,0.49817999999999996
Events,Events,1,0,0,0.7964
French Election,French Election,1,0,0,0.5994
Westminster,Westminster,814,0,0.3235294117647059,-0.11028587223587226
#BreakingNews,#BreakingNews,3,0,0,0.09866666666666667
Russia,Russia,1,0,0,0.7003
Technology,Technology,11,0,0.5,0.1095181818181818
Houses of Parliament,Houses of Parliament,6,0,0,0.023049999999999998
British Politics,British Politics,276,0,0.6666666666666666,0.06602717391304348
#worldwaterday,#worldwaterday,34,0,1.0,0.33037058823529414
House of Commons,House of Commons,10,0,0,-0.30612999999999996
Sports,Sports,3,0,0,0.0
Celebrities,Celebrities,1,0,0,0.4939
#PMQs,#PMQs,1,0,0,0.0
Ronnie Moran,Ronnie Moran,14,0,0,0.3593142857142858
Shana Grice,Shana Grice,1,0,0,-0.6486
Parliament,Parliament,71,0,0.0,-0.27834788732394367
Trump,Trump,28,0,0.0,0.0006607142857142963
Portcullis House,Portcullis House,6,0,0,0.14946666666666666
NHS,NHS,2,0,0,0.24695
